# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	68	1912	-	LDJNFA_00005	bipA	50S ribosomal subunit assembly factor BipA	SO:0001217, UniRef:UniRef50_A0A3A8L7V3
contig_1	cds	2162	2716	+	LDJNFA_00010		Peptide deformylase	SO:0001217, UniRef:UniRef50_Q88VB2
contig_1	cds	2872	3093	+	LDJNFA_00015		DNA-directed RNA polymerase subunit epsilon	SO:0001217, UniRef:UniRef50_A0A0F4KTS0
contig_1	cds	3098	4777	+	LDJNFA_00020		Ribonuclease J1	SO:0001217, UniRef:UniRef50_Q45493
contig_1	cds	4827	5786	+	LDJNFA_00025		Transcriptional regulator	SO:0001217, UniRef:UniRef50_F2LYZ3
contig_1	cds	5854	6225	-	LDJNFA_00030		DUF1828 domain-containing protein	SO:0001217, UniRef:UniRef50_D4YS04
contig_1	cds	6355	6465	+	LDJNFA_00035		hypothetical protein	
contig_1	cds	6507	8876	-	LDJNFA_00040		ATP-dependent RecD-like DNA helicase	SO:0001217, UniRef:UniRef50_C8PAU3
contig_1	cds	8869	9507	-	LDJNFA_00045		Tetratricopeptide repeat protein	SO:0001217, UniRef:UniRef50_Q5FKT8
contig_1	cds	9507	10166	-	LDJNFA_00050		Histidine phosphatase family protein	SO:0001217, UniRef:UniRef50_A0A0D5MJE2
contig_1	cds	10192	11004	-	LDJNFA_00055		HAD family hydrolase	SO:0001217, UniRef:UniRef50_A0A1M4Z165
contig_1	cds	11096	12223	-	LDJNFA_00060	mnmA	tRNA-specific 2-thiouridylase MnmA	SO:0001217, UniRef:UniRef50_Q812R6
contig_1	cds	12228	12569	-	LDJNFA_00065		Cysteine desulfurase	SO:0001217, UniRef:UniRef50_F0TDW6
contig_1	cds	12618	13733	-	LDJNFA_00070		cysteine desulfurase	SO:0001217, UniRef:UniRef50_G2SPT5
contig_1	cds	13774	14469	-	LDJNFA_00075		adenosylhomocysteine nucleosidase	SO:0001217, UniRef:UniRef50_A0A0F4LSP7
contig_1	cds	14488	14790	-	LDJNFA_00080		hypothetical protein	
contig_1	cds	14793	15350	-	LDJNFA_00085		Hydrolase, NUDIX family	SO:0001217, UniRef:UniRef50_C8PD79
contig_1	cds	15353	15574	-	LDJNFA_00090		CSD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0R1S320
contig_1	cds	15574	18366	-	LDJNFA_00095		Isoleucine--tRNA ligase	SO:0001217, UniRef:UniRef50_Q74JX6
contig_1	cds	18595	19419	-	LDJNFA_00100		hypothetical protein	
contig_1	cds	19392	20189	-	LDJNFA_00105		hypothetical protein	PFAM:PF17774.4
contig_1	cds	20241	20537	-	LDJNFA_00110	yggT	YggT family protein	SO:0001217, UniRef:UniRef50_A0A0R1Y4F0
contig_1	cds	20537	20971	-	LDJNFA_00115	sepF	Cell division protein SepF	SO:0001217, UniRef:UniRef50_Q04B68
contig_1	cds	20987	22312	-	LDJNFA_00120	ftsZ	Cell division protein FtsZ	SO:0001217, UniRef:UniRef50_A0A0H2ZNE0
contig_1	cds	22327	23679	-	LDJNFA_00125	ftsA	Cell division protein FtsA	SO:0001217, UniRef:UniRef50_K0NT67
contig_1	cds	23743	24603	-	LDJNFA_00130		Cell division protein DivIB	SO:0001217, UniRef:UniRef50_Q1GAT4
contig_1	cds	24621	25727	-	LDJNFA_00135		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	SO:0001217, UniRef:UniRef50_Q1GAT5
contig_1	cds	25730	27109	-	LDJNFA_00140		UDP-N-acetylmuramoylalanine--D-glutamate ligase	SO:0001217, UniRef:UniRef50_Q5FKV3
contig_1	cds	27120	28079	-	LDJNFA_00145		Phospho-N-acetylmuramoyl-pentapeptide-transferase	SO:0001217, UniRef:UniRef50_K1M0Y6
contig_1	cds	28090	30252	-	LDJNFA_00150	ftsI	Cell division protein FtsI [Peptidoglycan synthetase]	SO:0001217, UniRef:UniRef50_A0A837BU55
contig_1	cds	30252	30614	-	LDJNFA_00155	ftsL	Cell division protein FtsL	SO:0001217, UniRef:UniRef50_A0A0R1V9R5
contig_1	cds	30628	31590	-	LDJNFA_00160		Ribosomal RNA small subunit methyltransferase H	SO:0001217, UniRef:UniRef50_P62471
contig_1	cds	31580	32011	-	LDJNFA_00165	mraZ	Transcriptional regulator MraZ	SO:0001217, UniRef:UniRef50_Q88V75
contig_1	cds	32160	32492	-	LDJNFA_00170		DUF3397 domain-containing protein	SO:0001217, UniRef:UniRef50_Q5FKV8
contig_1	cds	32584	32706	+	LDJNFA_00175		hypothetical protein	
